smiles	node_id	scenario_id	scenario_description	pathway_id	Confidence_level	Redox_type	Acidity_interval	Location_name	BioReactor_type	InoculumSource_source	TypeOfAeration_type	SludgeRetentionTime_type	OriginalSludgeAmount_amount	TotalSuspendedSolids_start	FinalCompoundConcentration_concentration	Addition_type	Temperature_interval	WWTPPurpose_purpose	CompoundSolutionSolvent_proportion	DissolvedOxygenConcentration_concentration_high	LiquidMatrixSource_source	RateConstant_correction	AerationType_type	BiologicalTreatmentTechnology_type	HalfLife_comment	Nutrients_data	OxygenDemand_influent	NitrogenContent_influent	PhosphorusContent_influent	VolatileTotalSuspendedSolids_start	TransformationProductImportance_importance	DissolvedOrganicCarbon_start
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NO	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/49124156-858a-433d-8bf7-236bf1d6e507	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/ea4d0d9f-1e42-4bbe-8a9d-6c214894edd0	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	3																											
CC1=CC(=NO1)N	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/59c3127c-c800-4108-97a8-1e2d70c1a8da	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/3781bad4-9e91-4e8b-94e6-eff9804e59e4	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	1																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCC(=O)C(=O)O	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/e0b29f43-7b02-4200-91b3-5bc4d1259d7c	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/d867fb51-273c-471f-bb86-c5d614a9e8ef	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	4																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=NC4=C(NC3)NC(N)NC4=O	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/f45944fd-cced-4b9b-98fa-146ecb3cad4e	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/bad5b206-0b10-4ba4-b89f-dfc500f276c5	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	2																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=NC4=C(N=C3)NC(=O)NC4=O	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/9ba7fc16-ac78-446c-ae6e-1de0958bce2f	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/ba28c232-d133-4b11-9124-ef02ef39f352	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	2																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/f3a4e268-070a-4582-b776-6144ec10c3c2	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/2697a43e-11b5-4971-b9bc-198fe41d64b4	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	1																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCC(=O)/C=N\C3=C(C(=O)NC(N)N3)N	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/ae1be18e-c901-4933-afad-f27fdf972ab5	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/8d310a0c-eb96-4046-903b-cb03b94bef9b	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	3																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=NC4=C(N=C3)NC(N)NC4=O	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/9f92fec6-27e8-44cc-98c1-f52af1391400	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/1505d61e-3e12-4b2b-a50c-7fb5f843b0be	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	2																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC=O	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/09fb2b71-c18d-4a49-9785-341f576b1252	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/dddf87f0-fb47-4d48-8457-6c7b479d5f3b	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	2																											
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28/node/1dc83608-2a11-4c5c-bd16-abc132543fbe	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/scenario/39527956-364f-4ebd-a20b-eba5c101694d	no description	https://envipath.org/package/521c547a-fd2a-491c-ad5b-7eaa1577fb65/pathway/9a37ebc5-ba49-4b8a-80e6-d33813078d28	1																											
